test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
spe9,c5xlarge1,2020-06-12 18:24:13,20.36,19.98168425,0.031327,0.215376,90,0.873914,0.355986,0.21745739999999997,0.1946117
spe9,c5xlarge2,2020-06-12 20:12:22,25.85,25.446467625,0.025682,0.275769,90,1.264401,0.439371,0.27987339999999994,0.2579984
spe9,c5xlarge2,2020-06-13 05:14:00,27.34,26.941887375000004,0.024494,0.29233,90,1.286107,0.593611,0.35041400000000006,0.2968670000000001
spe9,c5xlarge2,2020-06-12 19:09:53,18.25,17.638529625,0.037537,0.188995,90,0.911624,0.380905,0.23181700000000002,0.19936300000000004
spe9,c5xlarge4,2020-06-13 06:46:03,33.74,33.33597125,0.02188,0.362591,90,1.673023,0.650191,0.4083743999999999,0.349516
spe9,c5xlarge4,2020-06-12 20:29:34,34.83,34.3692081875,0.021782,0.373866,90,1.5718,0.62161,0.38486839999999994,0.34421509999999994
spe9,c5xlarge4,2020-06-12 19:24:02,23.32,22.495840937500002,0.029423,0.242923,90,1.083976,0.451519,0.2717256,0.2355025
spe9,c5xlarge8,2020-06-12 19:42:54,43.6,42.936491781250005,0.020207,0.467726,90,2.021252,0.826074,0.532949,0.45564609999999994
spe9,c5xlarge8,2020-06-13 18:27:52,44.42,43.781240031250015,0.019899,0.477057,90,2.101254,0.821307,0.5326798,0.4716812
spe9,c5xlarge8,2020-06-12 20:53:25,43.95,43.4795498125,0.020409,0.473555,90,2.085498,0.85544,0.5108512000000001,0.45213850000000005
