[MO833] t1_antes_paramount,1.421406
[MO833] t1_antes_paramount,1.424248
[MO833] t1_antes_paramount,1.424503
[MO833] t1_antes_paramount,1.424473
[MO833] t1_antes_paramount,1.423666
[MO833] t1_antes_paramount,1.423681
[MO833] t1_antes_paramount,1.425530
[MO833] t1_antes_paramount,1.431380
[MO833] Paramount Iteration,1,3.232104,4.653510
[MO833] Paramount Iteration,1,3.230298,4.654546
[MO833] Paramount Iteration,1,3.230046,4.654519
[MO833] Paramount Iteration,1,3.229839,4.653520
[MO833] Paramount Iteration,1,3.229764,4.655294
[MO833] Paramount Iteration,1,3.230172,4.654675
[MO833] Paramount Iteration,1,3.229957,4.653623
[MO833] Paramount Iteration,1,3.223514,4.654894
[MO833] Paramount Iteration,2,1.215461,5.869980
[MO833] Paramount Iteration,2,1.215489,5.868999
[MO833] Paramount Iteration,2,1.215518,5.870064
[MO833] Paramount Iteration,2,1.215612,5.869132
[MO833] Paramount Iteration,2,1.215703,5.869326
[MO833] Paramount Iteration,2,1.215815,5.871109
[MO833] Paramount Iteration,2,1.215905,5.870580
[MO833] Paramount Iteration,2,1.215715,5.870609
[MO833] Paramount Iteration,3,0.808630,6.678610
[MO833] Paramount Iteration,3,0.808655,6.677787
[MO833] Paramount Iteration,3,0.808310,6.679419
[MO833] Paramount Iteration,3,0.808666,6.678730
[MO833] Paramount Iteration,3,0.808050,6.677049
[MO833] Paramount Iteration,3,0.808290,6.678870
[MO833] Paramount Iteration,3,0.808676,6.678002
[MO833] Paramount Iteration,3,0.808593,6.679202
[MO833] Paramount Iteration,4,0.814840,7.491889
[MO833] Paramount Iteration,4,0.815629,7.494239
[MO833] Paramount Iteration,4,0.815645,7.495064
[MO833] Paramount Iteration,4,0.815559,7.494289
[MO833] Paramount Iteration,4,0.815569,7.493356
[MO833] Paramount Iteration,4,0.815479,7.493481
[MO833] Paramount Iteration,4,0.815551,7.494421
[MO833] Paramount Iteration,4,0.815241,7.494443
[MO833] Paramount Iteration,5,0.705437,8.197326
[MO833] Paramount Iteration,5,0.705837,8.200076
[MO833] Paramount Iteration,5,0.705982,8.200271
[MO833] Paramount Iteration,5,0.705965,8.199321
[MO833] Paramount Iteration,5,0.705938,8.201002
[MO833] Paramount Iteration,5,0.705943,8.200364
[MO833] Paramount Iteration,5,0.705893,8.199374
[MO833] Paramount Iteration,5,0.706393,8.200836
[MO833] Paramount Iteration,6,0.624606,8.824682
[MO833] Paramount Iteration,6,0.624417,8.821743
[MO833] Paramount Iteration,6,0.624425,8.823746
[MO833] Paramount Iteration,6,0.624505,8.824776
[MO833] Paramount Iteration,6,0.624594,8.824958
[MO833] Paramount Iteration,6,0.624507,8.823881
[MO833] Paramount Iteration,6,0.624665,8.825667
[MO833] Paramount Iteration,6,0.624052,8.824888
[MO833] Paramount Iteration,7,0.616697,9.441379
[MO833] Paramount Iteration,7,0.616761,9.440507
[MO833] Paramount Iteration,7,0.616589,9.442256
[MO833] Paramount Iteration,7,0.616844,9.440725
[MO833] Paramount Iteration,7,0.616696,9.441654
[MO833] Paramount Iteration,7,0.616817,9.441593
[MO833] Paramount Iteration,7,0.616227,9.437971
[MO833] Paramount Iteration,7,0.616894,9.441782
[MO833] Paramount Iteration,8,0.620359,10.058330
[MO833] Paramount Iteration,8,0.621030,10.063286
[MO833] Paramount Iteration,8,0.621145,10.062524
[MO833] Paramount Iteration,8,0.620869,10.061594
[MO833] Paramount Iteration,8,0.620835,10.062428
[MO833] Paramount Iteration,8,0.621038,10.061545
[MO833] Paramount Iteration,8,0.620954,10.062608
[MO833] Paramount Iteration,8,0.621161,10.062943
[MO833] Paramount Iteration,9,0.639225,10.697555
[MO833] Paramount Iteration,9,0.639620,10.702144
[MO833] Paramount Iteration,9,0.639640,10.702926
[MO833] Paramount Iteration,9,0.639481,10.701026
[MO833] Paramount Iteration,9,0.639740,10.702168
[MO833] Paramount Iteration,9,0.639696,10.702304
[MO833] Paramount Iteration,9,0.639645,10.701239
[MO833] Paramount Iteration,9,0.639823,10.702766
[MO833] Paramount Iteration,10,0.618375,11.320679
[MO833] Paramount Iteration,10,0.618524,11.319763
[MO833] PI avg,0.989610,10
[MO833] Paramount Iteration,10,0.618489,11.320657
[MO833] PI avg,0.989618,10
[MO833] Paramount Iteration,10,0.618590,11.320734
[MO833] PI avg,0.989641,10
[MO833] PI avg,0.989626,10
[MO833] Paramount Iteration,10,0.618851,11.319877
[MO833] Paramount Iteration,10,0.618565,11.321491
[MO833] PI avg,0.989620,10
[MO833] PI avg,0.989596,10
[MO833] Paramount Iteration,10,0.618696,11.316251
[MO833] PI avg,0.989484,10
[MO833] Paramount Iteration,10,0.618614,11.321380
[MO833] PI avg,0.989000,10
[MO833] Total time,11.323629
[MO833] Total time,11.325407
[MO833] Beta,0.144252
[MO833] Total time,11.324637
[MO833] Beta,0.144448
[MO833] Total time,11.324811
[MO833] Beta,0.144335
[MO833] Total time,11.324849
[MO833] Beta,0.144362
[MO833] Beta,0.144339
[MO833] Total time,11.323878
[MO833] Beta,0.144265
[MO833] Total time,11.325726
[MO833] Total time,11.325296
[MO833] Beta,0.145126
[MO833] Beta,0.144609
