[MO833] t1_antes_paramount,6.017031
[MO833] t1_antes_paramount,6.105440
[MO833] t1_antes_paramount,6.183613
[MO833] t1_antes_paramount,6.156166
[MO833] Paramount Iteration,1,7.541189,13.724802
[MO833] Paramount Iteration,1,7.555053,13.660493
[MO833] Paramount Iteration,1,7.567504,13.584535
[MO833] Paramount Iteration,1,7.539287,13.695453
[MO833] Paramount Iteration,2,4.774056,18.498858
[MO833] Paramount Iteration,2,4.773662,18.434155
[MO833] Paramount Iteration,2,4.773238,18.357773
[MO833] Paramount Iteration,2,4.771794,18.467247
[MO833] Paramount Iteration,3,3.160329,21.659187
[MO833] Paramount Iteration,3,3.160398,21.594553
[MO833] Paramount Iteration,3,3.160297,21.518070
[MO833] Paramount Iteration,3,3.163827,21.631074
[MO833] Paramount Iteration,4,3.683785,25.342972
[MO833] Paramount Iteration,4,3.683896,25.278449
[MO833] Paramount Iteration,4,3.684581,25.202651
[MO833] Paramount Iteration,4,3.683821,25.314896
[MO833] Paramount Iteration,5,4.351032,29.629481
[MO833] Paramount Iteration,5,4.357785,29.560436
[MO833] Paramount Iteration,5,4.402116,29.745088
[MO833] Paramount Iteration,5,4.383777,29.698673
[MO833] Paramount Iteration,6,3.418926,32.979362
[MO833] Paramount Iteration,6,3.439090,33.068571
[MO833] Paramount Iteration,6,3.401710,33.146798
[MO833] Paramount Iteration,6,3.384208,33.082881
[MO833] Paramount Iteration,7,3.652697,36.799495
[MO833] Paramount Iteration,7,3.652909,36.721480
[MO833] Paramount Iteration,7,3.652848,36.632210
[MO833] Paramount Iteration,7,3.653349,36.736230
[MO833] Paramount Iteration,8,1.482335,38.114545
[MO833] Paramount Iteration,8,1.483115,38.282610
[MO833] Paramount Iteration,8,1.482927,38.204407
[MO833] Paramount Iteration,8,1.482639,38.218869
[MO833] Paramount Iteration,9,1.538765,39.821375
[MO833] Paramount Iteration,9,1.539095,39.653640
[MO833] Paramount Iteration,9,1.538911,39.743318
[MO833] Paramount Iteration,9,1.539200,39.758069
[MO833] Paramount Iteration,10,4.133333,43.876651
[MO833] PI avg,3.777121,10
[MO833] Total time,43.889889
[MO833] Beta,0.161994
[MO833] Paramount Iteration,10,4.149836,43.803476
[MO833] PI avg,3.778644,10
[MO833] Total time,43.818254
[MO833] Beta,0.159630
[MO833] Paramount Iteration,10,4.165046,43.986421
[MO833] PI avg,3.780281,10
[MO833] Total time,43.997478
[MO833] Beta,0.163868
[MO833] Paramount Iteration,10,4.175714,43.933783
[MO833] PI avg,3.777762,10
[MO833] Total time,43.956215
[MO833] Beta,0.163552
